n,door,mean_time
100,True,23.1
100,False,15.04
115,True,23.48
115,False,15.46
130,True,24.7
130,False,15.62
145,True,25.22
145,False,14.76
160,True,26.14
160,False,15.2
175,True,28.24
175,False,15.72
190,True,29.8
190,False,16.98
205,True,32.1
205,False,18.34
220,True,36.16
220,False,18.06
235,True,39.18
235,False,19.68
250,True,43.14
250,False,21.2
265,True,46.94
265,False,23.14
280,True,52.56
280,False,23.06
295,True,54.18
295,False,26.48
310,True,61.3
310,False,29.1
325,True,64.56
325,False,30.32
340,True,71.62
340,False,32.62
355,True,80.24
355,False,33.48
370,True,91.36
370,False,41.9
385,True,97.88
385,False,41.64
400,True,91.96
400,False,45.2
415,True,105.74
415,False,48.04
430,True,109.48
430,False,49.06
445,True,127.4
445,False,52.86
460,True,124.42
460,False,59.8
475,True,134.44
475,False,58.52
490,True,139.38
490,False,63.3
